run,peakI,timeToPeak,finalR,duration,attackRate
run_seed42,31,23,50,92,1.0000
run_seed43,33,19,50,65,1.0000
run_seed44,29,19,50,104,1.0000
run_seed45,28,15,50,93,1.0000
run_seed46,22,27,50,77,1.0000
run_seed47,25,31,49,123,0.9800
run_seed48,24,22,50,81,1.0000
run_seed49,31,27,50,126,1.0000
run_seed50,34,21,50,85,1.0000
run_seed51,27,21,50,101,1.0000
run_seed52,31,24,50,99,1.0000
run_seed53,31,16,50,71,1.0000
run_seed54,34,20,50,112,1.0000
run_seed55,30,19,50,132,1.0000
run_seed56,28,20,50,138,1.0000
run_seed57,27,22,50,109,1.0000
run_seed58,28,20,50,92,1.0000
run_seed59,30,23,50,87,1.0000
run_seed60,2,0,4,5,0.0800
run_seed61,30,25,49,116,0.9800
